param_name,kernel_index,flat_index,value
conv_p.weight,0,0,0.2967510521411896
conv_p.weight,0,1,0.333844929933548
conv_p.weight,0,2,-0.2596571743488312
conv_p.weight,0,3,0.2967510521411896
conv_p.weight,1,0,-0.0741877630352974
conv_p.weight,1,1,0.11128164827823639
conv_p.weight,1,2,-0.18546940386295319
conv_p.weight,1,3,0.2596571743488312
conv_p.weight,2,0,0.22256329655647278
conv_p.weight,2,1,-0.5564082264900208
conv_p.weight,2,2,0.22256329655647278
conv_p.weight,2,3,-0.11128164827823639
conv_p.weight,3,0,0.2596571743488312
conv_p.weight,3,1,0.11128164827823639
conv_p.weight,3,2,0.2596571743488312
conv_p.weight,3,3,0.0741877630352974
conv_qrs.weight,0,0,0.26042982935905457
conv_qrs.weight,0,1,0.11161278188228607
conv_qrs.weight,0,2,-0.26042982935905457
conv_qrs.weight,0,3,0.37204262614250183
conv_qrs.weight,1,0,-0.40924689173698425
conv_qrs.weight,1,1,-0.11161278188228607
conv_qrs.weight,1,2,-0.03720426186919212
conv_qrs.weight,1,3,0.5580639243125916
conv_qrs.weight,2,0,-0.26042982935905457
conv_qrs.weight,2,1,-0.07440852373838425
conv_qrs.weight,2,2,0.1488170474767685
conv_qrs.weight,2,3,0.1488170474767685
conv_qrs.weight,3,0,0.1488170474767685
conv_qrs.weight,3,1,-0.3348383605480194
conv_qrs.weight,3,2,0.4836553931236267
conv_qrs.weight,3,3,-0.26042982935905457
conv_t.weight,0,0,0.46256497502326965
conv_t.weight,0,1,0.12335065752267838
conv_t.weight,0,2,-0.2775389850139618
conv_t.weight,0,3,0.06167532876133919
conv_t.weight,1,0,-0.0
conv_t.weight,1,1,0.30837664008140564
conv_t.weight,1,2,0.06167532876133919
conv_t.weight,1,3,-0.18502599000930786
conv_t.weight,2,0,0.15418832004070282
conv_t.weight,2,1,-0.24670131504535675
conv_t.weight,2,2,0.06167532876133919
conv_t.weight,2,3,0.2158636450767517
conv_t.weight,3,0,0.09251299500465393
conv_t.weight,3,1,-0.18502599000930786
conv_t.weight,3,2,0.2775389850139618
conv_t.weight,3,3,0.24670131504535675
conv_global.weight,0,0,0.13231390714645386
conv_global.weight,0,1,-0.23816503584384918
conv_global.weight,0,2,-0.3440161645412445
conv_global.weight,0,3,-0.13231390714645386
conv_global.weight,1,0,-0.13231390714645386
conv_global.weight,1,1,0.23816503584384918
conv_global.weight,1,2,0.05292556434869766
conv_global.weight,1,3,0.05292556434869766
conv_global.weight,2,0,0.13231390714645386
conv_global.weight,2,1,0.07938835024833679
conv_global.weight,2,2,0.29109060764312744
conv_global.weight,2,3,-0.21170225739479065
conv_global.weight,3,0,0.07938835024833679
conv_global.weight,3,1,-0.3969417214393616
conv_global.weight,3,2,0.07938835024833679
conv_global.weight,3,3,-0.2646278142929077
mlp_layers.0.weight,0,0,0.3671528697013855
mlp_layers.0.weight,0,1,0.6119214296340942
mlp_layers.0.weight,0,2,0.6119214296340942
mlp_layers.0.weight,0,3,-0.3671528697013855
mlp_layers.0.weight,1,0,-0.3059607148170471
mlp_layers.0.weight,1,1,-0.4283449947834015
mlp_layers.0.weight,1,2,0.4283449947834015
mlp_layers.0.weight,1,3,0.24476857483386993
mlp_layers.0.weight,2,0,0.5507292747497559
mlp_layers.0.weight,2,1,-0.9178821444511414
mlp_layers.0.weight,2,2,-0.061192143708467484
mlp_layers.0.weight,2,3,-0.4283449947834015
mlp_layers.0.weight,3,0,-0.6731135845184326
mlp_layers.0.weight,3,1,0.18357643485069275
mlp_layers.0.weight,3,2,0.3059607148170471
mlp_layers.0.weight,3,3,0.4283449947834015
mlp_layers.1.weight,0,0,-0.31281402707099915
mlp_layers.1.weight,0,1,-0.31281402707099915
mlp_layers.1.weight,0,2,0.23461052775382996
mlp_layers.1.weight,0,3,-0.31281402707099915
mlp_layers.1.weight,1,0,0.5865262746810913
mlp_layers.1.weight,1,1,0.23461052775382996
mlp_layers.1.weight,1,2,-0.43011927604675293
mlp_layers.1.weight,1,3,-0.39101752638816833
mlp_layers.1.weight,2,0,-0.27371227741241455
mlp_layers.1.weight,2,1,0.31281402707099915
mlp_layers.1.weight,2,2,0.23461052775382996
mlp_layers.1.weight,2,3,-0.31281402707099915
mlp_layers.1.weight,3,0,0.5865262746810913
mlp_layers.1.weight,3,1,0.31281402707099915
mlp_layers.1.weight,3,2,-0.43011927604675293
mlp_layers.1.weight,3,3,-0.4692210555076599
mlp_layers.2.weight,0,0,0.3233913779258728
mlp_layers.2.weight,0,1,-0.3233913779258728
mlp_layers.2.weight,0,2,-0.3233913779258728
mlp_layers.2.weight,0,3,-0.3233913779258728
mlp_layers.2.weight,1,0,-0.3233913779258728
mlp_layers.2.weight,1,1,0.9701741337776184
mlp_layers.2.weight,1,2,-0.3233913779258728
mlp_layers.2.weight,1,3,0.9701741337776184
mlp_layers.2.weight,2,0,-0.0
mlp_layers.2.weight,2,1,-0.3233913779258728
mlp_layers.2.weight,2,2,-0.3233913779258728
mlp_layers.2.weight,2,3,-0.3233913779258728
mlp_layers.2.weight,3,0,-0.3233913779258728
mlp_layers.2.weight,3,1,-0.12935654819011688
mlp_layers.2.weight,3,2,0.3233913779258728
mlp_layers.2.weight,3,3,0.3233913779258728
classifier.weight,0,0,-0.0
classifier.weight,0,1,-0.9886304140090942
classifier.weight,0,2,-0.3954521417617798
classifier.weight,0,3,-0.4613608419895172
classifier.weight,1,0,0.0
classifier.weight,1,1,0.9227216839790344
classifier.weight,1,2,-0.0
classifier.weight,1,3,-0.1977260708808899
