threshold,miss_rate,fpr
0.227,0.019940,0.203766
0.228,0.020369,0.199865
0.229,0.020583,0.195047
0.230,0.020798,0.190986
0.231,0.021012,0.186806
0.232,0.021870,0.182944
0.233,0.022513,0.178923
0.234,0.022727,0.174822
0.235,0.022942,0.170880
0.236,0.024443,0.167536
0.237,0.024443,0.164510
0.238,0.024657,0.161882
0.239,0.025086,0.158896
0.240,0.025943,0.156229
0.241,0.026801,0.154318
0.242,0.027015,0.152048
0.243,0.027659,0.149620
0.244,0.028087,0.147589
0.245,0.028516,0.146076
0.246,0.029588,0.144285
0.247,0.029588,0.142175
0.248,0.030660,0.140741
0.249,0.031089,0.139547
0.250,0.031518,0.138114
0.251,0.032161,0.136760
0.252,0.032590,0.135725
0.253,0.032804,0.134610
0.254,0.033019,0.133694
0.255,0.033662,0.132420
0.256,0.033877,0.131345
0.257,0.034091,0.130509
0.258,0.034520,0.129355
0.259,0.035377,0.128439
0.260,0.036021,0.127444
0.261,0.036664,0.126767
0.262,0.037307,0.125333
0.263,0.038593,0.124258
0.264,0.039451,0.123621
0.265,0.039666,0.122825
0.266,0.040094,0.121870
0.267,0.040738,0.120994
0.268,0.040738,0.120317
0.269,0.041166,0.119521
0.270,0.042453,0.118565
0.271,0.043096,0.117411
0.272,0.044383,0.116774
0.273,0.044811,0.115937
0.274,0.045455,0.115181
0.275,0.045669,0.114464
0.276,0.046312,0.113987
0.277,0.047384,0.113429
0.278,0.047813,0.112951
0.279,0.049743,0.112314
0.280,0.050600,0.111558
0.281,0.051029,0.111200
0.282,0.051672,0.110523
0.283,0.051672,0.109726
0.284,0.052101,0.109089
0.285,0.052530,0.108612
0.286,0.054245,0.108094
0.287,0.054674,0.107417
0.288,0.055317,0.107099
0.289,0.055961,0.106661
0.290,0.056604,0.106263
0.291,0.057461,0.105904
0.292,0.057676,0.105586
0.293,0.057676,0.105188
0.294,0.058319,0.104790
0.295,0.058748,0.104511
0.296,0.058748,0.104153
0.297,0.059177,0.103794
0.298,0.060034,0.103436
0.299,0.060463,0.103277
0.300,0.060678,0.102998
0.301,0.061321,0.102759
0.302,0.061321,0.102401
0.303,0.062607,0.102003
0.304,0.063036,0.101405
0.305,0.063250,0.101127
0.306,0.064322,0.100450
0.307,0.065609,0.099733
0.308,0.065823,0.099415
0.309,0.066252,0.099056
0.310,0.067110,0.098539
0.311,0.067967,0.098181
0.312,0.068825,0.097822
0.313,0.069254,0.097344
0.314,0.070111,0.096946
0.315,0.071184,0.096668
0.316,0.071612,0.096110
0.317,0.072041,0.095792
0.318,0.072899,0.095354
0.319,0.073328,0.094916
0.320,0.074400,0.094438
0.321,0.075043,0.094080
0.322,0.075901,0.093682
0.323,0.076544,0.093443
0.324,0.076973,0.093084
0.325,0.078259,0.092726
0.326,0.078259,0.092487
0.327,0.078688,0.091970
0.328,0.078688,0.091452
0.329,0.079545,0.091253
0.330,0.080403,0.090656
0.331,0.080832,0.090337
0.332,0.081475,0.089859
0.333,0.082333,0.089541
0.334,0.082762,0.089143
0.335,0.083405,0.089063
0.336,0.083834,0.088745
0.337,0.084906,0.088426
0.338,0.085549,0.087749
0.339,0.086407,0.087510
0.340,0.087050,0.087152
0.341,0.087693,0.087112
0.342,0.088551,0.086794
0.343,0.089408,0.086475
0.344,0.090480,0.086316
0.345,0.091338,0.086077
0.346,0.091981,0.085838
0.347,0.093053,0.085639
0.348,0.093482,0.085440
0.349,0.093911,0.085361
0.350,0.094340,0.085122
0.351,0.095197,0.084644
0.352,0.095412,0.084405
0.353,0.095840,0.083967
0.354,0.096698,0.083728
0.355,0.097127,0.083569
0.356,0.097985,0.083449
0.357,0.098413,0.083290
0.358,0.099271,0.083012
0.359,0.100557,0.082852
0.360,0.100986,0.082574
0.361,0.101630,0.082335
0.362,0.102058,0.082016
0.363,0.103559,0.081698
0.364,0.103988,0.081379
0.365,0.104631,0.081220
0.366,0.104846,0.080941
0.367,0.105489,0.080822
0.368,0.106561,0.080463
0.369,0.106561,0.080304
0.370,0.106990,0.080304
0.371,0.107633,0.080105
0.372,0.107847,0.079906
0.373,0.108919,0.079747
0.374,0.109777,0.079468
0.375,0.110635,0.079229
0.376,0.111278,0.079070
0.377,0.111707,0.078911
0.378,0.112779,0.078592
0.379,0.113208,0.078473
0.380,0.113851,0.078234
0.381,0.114494,0.078035
0.382,0.115780,0.077716
0.383,0.116424,0.077557
0.384,0.116638,0.077438
0.385,0.117710,0.077318
0.386,0.117925,0.077239
0.387,0.118353,0.077039
0.388,0.118568,0.076721
0.389,0.119425,0.076323
0.390,0.119854,0.076243
0.391,0.120283,0.076084
0.392,0.120926,0.075726
0.393,0.121998,0.075367
0.394,0.123285,0.075288
0.395,0.124142,0.075208
0.396,0.124786,0.075049
0.397,0.124786,0.074929
0.398,0.125000,0.074730
0.399,0.125214,0.074611
0.400,0.125858,0.074491
0.401,0.126072,0.074412
0.402,0.127144,0.074173
0.403,0.127358,0.073974
0.404,0.127573,0.073775
0.405,0.127787,0.073456
0.406,0.128216,0.073217
0.407,0.129074,0.073138
0.408,0.129503,0.072978
0.409,0.129717,0.072819
0.410,0.130360,0.072580
0.411,0.131003,0.072461
0.412,0.131432,0.072381
0.413,0.131861,0.072222
0.414,0.132504,0.071943
0.415,0.133362,0.071784
0.416,0.134434,0.071386
0.417,0.134863,0.071346
0.418,0.135292,0.071227
0.419,0.135935,0.070908
0.420,0.136364,0.070829
0.421,0.136364,0.070749
0.422,0.136792,0.070629
0.423,0.137221,0.070629
0.424,0.137650,0.070470
0.425,0.138722,0.070311
0.426,0.139151,0.070112
0.427,0.139794,0.069953
0.428,0.140437,0.069714
0.429,0.140652,0.069594
0.430,0.141081,0.069395
0.431,0.141509,0.069316
0.432,0.141724,0.069156
0.433,0.141938,0.068997
0.434,0.142367,0.068878
0.435,0.143010,0.068798
0.436,0.143225,0.068599
0.437,0.143868,0.068360
0.438,0.144511,0.068002
0.439,0.144940,0.067882
0.440,0.145583,0.067763
0.441,0.146226,0.067604
0.442,0.146441,0.067484
0.443,0.146655,0.067484
0.444,0.147084,0.067285
0.445,0.147298,0.067086
