param_name,kernel_index,flat_index,value
conv_p.weight,0,0,0.3218376040458679
conv_p.weight,0,1,0.3218376040458679
conv_p.weight,0,2,-0.21455839276313782
conv_p.weight,0,3,0.2860778570175171
conv_p.weight,1,0,-0.035759732127189636
conv_p.weight,1,1,0.14303892850875854
conv_p.weight,1,2,-0.17879866063594818
conv_p.weight,1,3,0.2860778570175171
conv_p.weight,2,0,0.17879866063594818
conv_p.weight,2,1,-0.5363959670066833
conv_p.weight,2,2,0.21455839276313782
conv_p.weight,2,3,-0.10727919638156891
conv_p.weight,3,0,0.2860778570175171
conv_p.weight,3,1,0.10727919638156891
conv_p.weight,3,2,0.2860778570175171
conv_p.weight,3,3,0.10727919638156891
conv_qrs.weight,0,0,0.1876673400402069
conv_qrs.weight,0,1,0.1126004084944725
conv_qrs.weight,0,2,-0.15013387799263
conv_qrs.weight,0,3,0.4879350960254669
conv_qrs.weight,1,0,-0.3753346800804138
conv_qrs.weight,1,1,-0.1126004084944725
conv_qrs.weight,1,2,-0.0375334694981575
conv_qrs.weight,1,3,0.5630020499229431
conv_qrs.weight,2,0,-0.30026775598526
conv_qrs.weight,2,1,-0.075066938996315
conv_qrs.weight,2,2,0.15013387799263
conv_qrs.weight,2,3,0.15013387799263
conv_qrs.weight,3,0,0.15013387799263
conv_qrs.weight,3,1,-0.30026775598526
conv_qrs.weight,3,2,0.4879350960254669
conv_qrs.weight,3,3,-0.2627342939376831
conv_t.weight,0,0,0.45721495151519775
conv_t.weight,0,1,0.12192399054765701
conv_t.weight,0,2,-0.27432897686958313
conv_t.weight,0,3,0.030480997636914253
conv_t.weight,1,0,-0.0
conv_t.weight,1,1,0.27432897686958313
conv_t.weight,1,2,0.0
conv_t.weight,1,3,-0.18288598954677582
conv_t.weight,2,0,0.21336698532104492
conv_t.weight,2,1,-0.18288598954677582
conv_t.weight,2,2,0.09144299477338791
conv_t.weight,2,3,0.21336698532104492
conv_t.weight,3,0,0.12192399054765701
conv_t.weight,3,1,-0.21336698532104492
conv_t.weight,3,2,0.3048099875450134
conv_t.weight,3,3,0.27432897686958313
conv_global.weight,0,0,0.12383580207824707
conv_global.weight,0,1,-0.27243876457214355
conv_global.weight,0,2,-0.3715074062347412
conv_global.weight,0,3,-0.1733701229095459
conv_global.weight,1,0,-0.12383580207824707
conv_global.weight,1,1,0.27243876457214355
conv_global.weight,1,2,0.024767160415649414
conv_global.weight,1,3,0.024767160415649414
conv_global.weight,2,0,0.14860296249389648
conv_global.weight,2,1,0.0
conv_global.weight,2,2,0.3219730854034424
conv_global.weight,2,3,-0.22290444374084473
conv_global.weight,3,0,0.04953432083129883
conv_global.weight,3,1,-0.3715074062347412
conv_global.weight,3,2,0.024767160415649414
conv_global.weight,3,3,-0.24767160415649414
mlp_layers.0.weight,0,0,0.36409229040145874
mlp_layers.0.weight,0,1,0.5461384057998657
mlp_layers.0.weight,0,2,0.6675025224685669
mlp_layers.0.weight,0,3,-0.36409229040145874
mlp_layers.0.weight,1,0,-0.36409229040145874
mlp_layers.0.weight,1,1,-0.42477431893348694
mlp_layers.0.weight,1,2,0.42477431893348694
mlp_layers.0.weight,1,3,0.18204614520072937
mlp_layers.0.weight,2,0,0.6068204641342163
mlp_layers.0.weight,2,1,-0.9102306962013245
mlp_layers.0.weight,2,2,-0.06068204715847969
mlp_layers.0.weight,2,3,-0.4854563772678375
mlp_layers.0.weight,3,0,-0.6675025224685669
mlp_layers.0.weight,3,1,0.24272818863391876
mlp_layers.0.weight,3,2,0.36409229040145874
mlp_layers.0.weight,3,3,0.4854563772678375
mlp_layers.1.weight,0,0,-0.1591075360774994
mlp_layers.1.weight,0,1,-0.11933065205812454
mlp_layers.1.weight,0,2,0.11933065205812454
mlp_layers.1.weight,0,3,-0.11933065205812454
mlp_layers.1.weight,1,0,0.5966532826423645
mlp_layers.1.weight,1,1,0.1591075360774994
mlp_layers.1.weight,1,2,-0.4375457167625427
mlp_layers.1.weight,1,3,-0.3579919636249542
mlp_layers.1.weight,2,0,-0.1591075360774994
mlp_layers.1.weight,2,1,0.11933065205812454
mlp_layers.1.weight,2,2,0.11933065205812454
mlp_layers.1.weight,2,3,-0.11933065205812454
mlp_layers.1.weight,3,0,0.5966532826423645
mlp_layers.1.weight,3,1,0.27843818068504333
mlp_layers.1.weight,3,2,-0.4375457167625427
mlp_layers.1.weight,3,3,-0.47732260823249817
mlp_layers.2.weight,0,0,0.1297633796930313
mlp_layers.2.weight,0,1,-0.1297633796930313
mlp_layers.2.weight,0,2,-0.1297633796930313
mlp_layers.2.weight,0,3,-0.1297633796930313
mlp_layers.2.weight,1,0,-0.1297633796930313
mlp_layers.2.weight,1,1,0.9732253551483154
mlp_layers.2.weight,1,2,-0.1297633796930313
mlp_layers.2.weight,1,3,0.9732253551483154
mlp_layers.2.weight,2,0,-0.0
mlp_layers.2.weight,2,1,-0.1297633796930313
mlp_layers.2.weight,2,2,-0.1297633796930313
mlp_layers.2.weight,2,3,-0.1297633796930313
mlp_layers.2.weight,3,0,-0.1297633796930313
mlp_layers.2.weight,3,1,0.19464507699012756
mlp_layers.2.weight,3,2,0.1297633796930313
mlp_layers.2.weight,3,3,0.3892901539802551
classifier.weight,0,0,0.2639233469963074
classifier.weight,0,1,-0.9897125363349915
classifier.weight,0,2,-0.2639233469963074
classifier.weight,0,3,-0.5938275456428528
classifier.weight,1,0,0.2639233469963074
classifier.weight,1,1,0.9237316846847534
classifier.weight,1,2,-0.2639233469963074
classifier.weight,1,3,0.06598083674907684
