param_name,kernel_index,flat_index,value
conv_p.weight,0,0,0.42062389850616455
conv_p.weight,0,1,0.35591253638267517
conv_p.weight,0,2,-0.3235568404197693
conv_p.weight,0,3,0.22648979723453522
conv_p.weight,1,0,-0.22648979723453522
conv_p.weight,1,1,0.42062389850616455
conv_p.weight,1,2,-0.48533526062965393
conv_p.weight,1,3,0.45297959446907043
conv_p.weight,2,0,0.3235568404197693
conv_p.weight,2,1,-0.42062389850616455
conv_p.weight,2,2,0.19413411617279053
conv_p.weight,2,3,-0.12942273914813995
conv_p.weight,3,0,0.2912011742591858
conv_p.weight,3,1,0.12942273914813995
conv_p.weight,3,2,0.35591253638267517
conv_p.weight,3,3,-0.12942273914813995
conv_qrs.weight,0,0,0.3523781895637512
conv_qrs.weight,0,1,0.1957656592130661
conv_qrs.weight,0,2,-0.31322506070137024
conv_qrs.weight,0,3,-0.07830626517534256
conv_qrs.weight,1,0,0.31322506070137024
conv_qrs.weight,1,1,0.15661253035068512
conv_qrs.weight,1,2,-0.5872969627380371
conv_qrs.weight,1,3,0.15661253035068512
conv_qrs.weight,2,0,-0.3523781895637512
conv_qrs.weight,2,1,-0.15661253035068512
conv_qrs.weight,2,2,0.15661253035068512
conv_qrs.weight,2,3,0.27407193183898926
conv_qrs.weight,3,0,0.1957656592130661
conv_qrs.weight,3,1,-0.3915313184261322
conv_qrs.weight,3,2,0.5481438636779785
conv_qrs.weight,3,3,-0.1957656592130661
conv_t.weight,0,0,0.5432307720184326
conv_t.weight,0,1,0.28972306847572327
conv_t.weight,0,2,-0.32593846321105957
conv_t.weight,0,3,0.25350767374038696
conv_t.weight,1,0,-0.03621538355946541
conv_t.weight,1,1,0.3983692228794098
conv_t.weight,1,2,0.18107691407203674
conv_t.weight,1,3,-0.18107691407203674
conv_t.weight,2,0,0.10864615440368652
conv_t.weight,2,1,-0.18107691407203674
conv_t.weight,2,2,0.07243076711893082
conv_t.weight,2,3,0.14486153423786163
conv_t.weight,3,0,0.18107691407203674
conv_t.weight,3,1,-0.28972306847572327
conv_t.weight,3,2,0.3983692228794098
conv_t.weight,3,3,0.32593846321105957
conv_global.weight,0,0,0.1768430769443512
conv_global.weight,0,1,-0.41263383626937866
conv_global.weight,0,2,-0.5305292010307312
conv_global.weight,0,3,-0.3536861538887024
conv_global.weight,1,0,-0.8842153549194336
conv_global.weight,1,1,0.058947689831256866
conv_global.weight,1,2,0.41263383626937866
conv_global.weight,1,3,0.5894768834114075
conv_global.weight,2,0,0.23579075932502747
conv_global.weight,2,1,-0.23579075932502747
conv_global.weight,2,2,0.47158151865005493
conv_global.weight,2,3,-0.23579075932502747
conv_global.weight,3,0,0.0
conv_global.weight,3,1,-0.5894768834114075
conv_global.weight,3,2,0.058947689831256866
conv_global.weight,3,3,-0.5305292010307312
mlp_layers.0.weight,0,0,0.3618941307067871
mlp_layers.0.weight,0,1,-0.18094706535339355
mlp_layers.0.weight,0,2,0.482525497674942
mlp_layers.0.weight,0,3,-0.5428411960601807
mlp_layers.0.weight,1,0,-0.18094706535339355
mlp_layers.0.weight,1,1,-0.9047353267669678
mlp_layers.0.weight,1,2,0.6634725332260132
mlp_layers.0.weight,1,3,0.482525497674942
mlp_layers.0.weight,2,0,0.6031568646430969
mlp_layers.0.weight,2,1,-0.3618941307067871
mlp_layers.0.weight,2,2,0.241262748837471
mlp_layers.0.weight,2,3,-0.5428411960601807
mlp_layers.0.weight,3,0,-0.7237882614135742
mlp_layers.0.weight,3,1,0.42220979928970337
mlp_layers.0.weight,3,2,0.241262748837471
mlp_layers.0.weight,3,3,0.482525497674942
mlp_layers.1.weight,0,0,-0.25503867864608765
mlp_layers.1.weight,0,1,0.6631006002426147
mlp_layers.1.weight,0,2,0.20403094589710236
mlp_layers.1.weight,0,3,-0.30604642629623413
mlp_layers.1.weight,1,0,0.6631006002426147
mlp_layers.1.weight,1,1,-0.4080618917942047
mlp_layers.1.weight,1,2,0.05100773647427559
mlp_layers.1.weight,1,3,-0.7651160359382629
mlp_layers.1.weight,2,0,-0.15302321314811707
mlp_layers.1.weight,2,1,0.4590696394443512
mlp_layers.1.weight,2,2,0.4590696394443512
mlp_layers.1.weight,2,3,-0.25503867864608765
mlp_layers.1.weight,3,0,-0.15302321314811707
mlp_layers.1.weight,3,1,0.6631006002426147
mlp_layers.1.weight,3,2,0.10201547294855118
mlp_layers.1.weight,3,3,-0.4080618917942047
mlp_layers.2.weight,0,0,0.9606111645698547
mlp_layers.2.weight,0,1,-0.192122220993042
mlp_layers.2.weight,0,2,0.6404074430465698
mlp_layers.2.weight,0,3,0.9606111645698547
mlp_layers.2.weight,1,0,0.8325296640396118
mlp_layers.2.weight,1,1,0.6404074430465698
mlp_layers.2.weight,1,2,0.8325296640396118
mlp_layers.2.weight,1,3,0.8965703845024109
mlp_layers.2.weight,2,0,-0.0
mlp_layers.2.weight,2,1,-0.44828519225120544
mlp_layers.2.weight,2,2,-0.44828519225120544
mlp_layers.2.weight,2,3,-0.44828519225120544
mlp_layers.2.weight,3,0,0.8325296640396118
mlp_layers.2.weight,3,1,-0.25616297125816345
mlp_layers.2.weight,3,2,0.8965703845024109
mlp_layers.2.weight,3,3,0.9606111645698547
classifier.weight,0,0,-0.8934773206710815
classifier.weight,0,1,-0.957297146320343
classifier.weight,0,2,-0.5743783116340637
classifier.weight,0,3,-0.957297146320343
classifier.weight,1,0,0.957297146320343
classifier.weight,1,1,0.5105584859848022
classifier.weight,1,2,-0.5743783116340637
classifier.weight,1,3,0.8296575546264648
